filename,width,height,type,change_threshold,invalidation_threshold,                      average_compression_time,average_decompression_time,                      compression_ratio,average_psnr
comm-camera-movement,640,576,rvl,0,0,1.5778,1.5297,4.36551,0
comm-camera-movement,640,576,trvl,0,0,3.31895,1.9973,3.81844,0
comm-camera-movement,640,576,trvl,10,0,3.37135,1.85904,4.39909,71.6532
comm-camera-movement,640,576,trvl,10,2,3.18444,1.60614,4.60566,71.6372
comm-camera-movement,640,576,trvl,5,2,3.27092,1.68546,4.24548,79.7962
comm-camera-movement,640,576,trvl,20,2,3.15745,1.50915,5.27044,63.7003
comm-camera-movement,640,576,trvl,30,2,3.05645,1.4001,5.86952,59.2948
comm-empty,640,576,rvl,0,0,1.12287,0.98973,5.01676,0
comm-empty,640,576,trvl,0,0,3.41953,1.79789,4.34086,0
comm-empty,640,576,trvl,10,0,2.36889,0.769013,15.0972,69.4152
comm-empty,640,576,trvl,10,2,2.28844,0.706816,17.5463,69.366
comm-empty,640,576,trvl,5,2,3.04466,1.16315,8.84726,74.5944
comm-empty,640,576,trvl,20,2,1.78157,0.400559,44.6251,66.2408
comm-empty,640,576,trvl,30,2,1.73372,0.368961,64.4843,65.4661
comm-standing,640,576,rvl,0,0,1.16505,1.06353,4.8502,0
comm-standing,640,576,trvl,0,0,3.44578,1.81709,4.22915,0
comm-standing,640,576,trvl,10,0,2.37961,0.804687,13.0797,68.9827
comm-standing,640,576,trvl,10,2,2.36394,0.760235,15.1077,68.9337
comm-standing,640,576,trvl,5,2,3.10968,1.23526,8.19549,74.2984
comm-standing,640,576,trvl,20,2,2.00697,0.499033,31.3274,65.2505
comm-standing,640,576,trvl,30,2,1.95883,0.459564,42.0937,63.5642
ppt2-empty,640,576,rvl,0,0,0.939844,0.88113,4.72392,0
ppt2-empty,640,576,trvl,0,0,4.26281,1.91317,4.42779,0
ppt2-empty,640,576,trvl,10,0,1.77346,0.396776,61.4739,58.0407
ppt2-empty,640,576,trvl,10,2,1.75029,0.359495,90.6018,57.9431
ppt2-empty,640,576,trvl,5,2,1.88522,0.445213,47.7145,60.3369
ppt2-empty,640,576,trvl,20,2,1.67565,0.319271,178.197,56.2438
ppt2-empty,640,576,trvl,30,2,1.66908,0.313182,191.576,56.0527
ppt2-sitting,640,576,rvl,0,0,1.11858,1.04915,4.39803,0
ppt2-sitting,640,576,trvl,0,0,3.99205,1.9221,4.1293,0
ppt2-sitting,640,576,trvl,10,0,2.16609,0.617778,21.5446,60.4579
ppt2-sitting,640,576,trvl,10,2,2.10156,0.553269,27.5259,60.391
ppt2-sitting,640,576,trvl,5,2,2.29947,0.68855,18.6822,64.3384
ppt2-sitting,640,576,trvl,20,2,1.94411,0.448707,43.0377,55.784
ppt2-sitting,640,576,trvl,30,2,1.87573,0.411223,52.4964,53.231
